OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(1072896k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 35664K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 54% used [0x000000076ab00000,0x000000076cdd4310,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7658K, capacity 8005K, committed 8192K, reserved 1056768K
  class space    used 852K, capacity 948K, committed 1024K, reserved 1048576K
11.622: [GC (Allocation Failure) [PSYoungGen: 118368K->96K(115200K)] 120492K->2220K(290304K), 0.0005035 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.698: [GC (Allocation Failure) [PSYoungGen: 114784K->32K(111616K)] 116908K->2156K(286720K), 0.0013169 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.774: [GC (Allocation Failure) [PSYoungGen: 111136K->96K(108544K)] 113260K->2220K(283648K), 0.0004938 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.843: [GC (Allocation Failure) [PSYoungGen: 108128K->64K(105472K)] 110252K->2188K(280576K), 0.0009046 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.914: [GC (Allocation Failure) [PSYoungGen: 105024K->64K(102400K)] 107148K->2188K(277504K), 0.0005072 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.981: [GC (Allocation Failure) [PSYoungGen: 101952K->64K(99328K)] 104076K->2188K(274432K), 0.0005232 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.048: [GC (Allocation Failure) [PSYoungGen: 98880K->64K(96768K)] 101004K->2188K(271872K), 0.0010175 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.112: [GC (Allocation Failure) [PSYoungGen: 96320K->64K(116224K)] 98444K->2188K(291328K), 0.0013640 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.191: [GC (Allocation Failure) [PSYoungGen: 115776K->64K(139776K)] 117900K->2188K(314880K), 0.0006108 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.281: [GC (Allocation Failure) [PSYoungGen: 139328K->96K(135168K)] 141452K->2220K(310272K), 0.0005086 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
12.369: [GC (Allocation Failure) [PSYoungGen: 134752K->32K(131072K)] 136876K->2164K(306176K), 0.0005414 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.462: [GC (Allocation Failure) [PSYoungGen: 130592K->96K(126976K)] 132724K->2228K(302080K), 0.0005070 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
12.555: [GC (Allocation Failure) [PSYoungGen: 126560K->32K(122880K)] 128692K->2164K(297984K), 0.0010047 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.640: [GC (Allocation Failure) [PSYoungGen: 122400K->96K(119296K)] 124532K->2228K(294400K), 0.0005077 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.721: [GC (Allocation Failure) [PSYoungGen: 118880K->64K(115712K)] 121012K->2196K(290816K), 0.0005085 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.804: [GC (Allocation Failure) [PSYoungGen: 115264K->64K(112128K)] 117396K->2196K(287232K), 0.0005382 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.877: [GC (Allocation Failure) [PSYoungGen: 111680K->64K(109056K)] 113812K->2196K(284160K), 0.0005149 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.950: [GC (Allocation Failure) [PSYoungGen: 108608K->64K(105984K)] 110740K->2196K(281088K), 0.0012666 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.022: [GC (Allocation Failure) [PSYoungGen: 105536K->64K(102912K)] 107668K->2196K(278016K), 0.0005015 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
13.091: [GC (Allocation Failure) [PSYoungGen: 102464K->64K(99840K)] 104596K->2196K(274944K), 0.0005312 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
