OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(3852976k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 34353K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 52% used [0x000000076ab00000,0x000000076cc8c4e8,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7657K, capacity 8005K, committed 8192K, reserved 1056768K
  class space    used 852K, capacity 948K, committed 1024K, reserved 1048576K
12.400: [GC (Allocation Failure) [PSYoungGen: 223264K->32K(215552K)] 224992K->1760K(390656K), 0.0010848 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.470: [GC (Allocation Failure) [PSYoungGen: 215072K->32K(207360K)] 216800K->1760K(382464K), 0.0005207 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.536: [GC (Allocation Failure) [PSYoungGen: 206880K->96K(199680K)] 208608K->1824K(374784K), 0.0005064 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.616: [GC (Allocation Failure) [PSYoungGen: 199264K->32K(192512K)] 200992K->1760K(367616K), 0.0005056 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.692: [GC (Allocation Failure) [PSYoungGen: 192032K->96K(185856K)] 193760K->1824K(360960K), 0.0005454 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.756: [GC (Allocation Failure) [PSYoungGen: 185440K->32K(179200K)] 187168K->1760K(354304K), 0.0006508 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.815: [GC (Allocation Failure) [PSYoungGen: 178720K->64K(173056K)] 180448K->1792K(348160K), 0.0004952 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
12.901: [GC (Allocation Failure) [PSYoungGen: 172608K->64K(166912K)] 174336K->1792K(342016K), 0.0011539 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.973: [GC (Allocation Failure) [PSYoungGen: 166464K->64K(161280K)] 168192K->1792K(336384K), 0.0004809 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.038: [GC (Allocation Failure) [PSYoungGen: 160832K->64K(155648K)] 162560K->1792K(330752K), 0.0005424 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.093: [GC (Allocation Failure) [PSYoungGen: 155200K->32K(150528K)] 156928K->1760K(325632K), 0.0009141 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.164: [GC (Allocation Failure) [PSYoungGen: 150048K->64K(145408K)] 151776K->1792K(320512K), 0.0007268 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.217: [GC (Allocation Failure) [PSYoungGen: 144960K->32K(174592K)] 146688K->1760K(349696K), 0.0010411 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.287: [GC (Allocation Failure) [PSYoungGen: 174112K->64K(209408K)] 175840K->1792K(384512K), 0.0011212 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.416: [GC (Allocation Failure) [PSYoungGen: 208960K->32K(251392K)] 210688K->1760K(426496K), 0.0009930 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.508: [GC (Allocation Failure) [PSYoungGen: 250912K->64K(301568K)] 252640K->1792K(476672K), 0.0009821 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.608: [GC (Allocation Failure) [PSYoungGen: 301120K->96K(289280K)] 302848K->1824K(464384K), 0.0005137 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
